molecule_chembl_id,canonical_smiles,standard_value,class
CHEMBL99102,CCC[C@@H](NC(=O)N1C(=O)C[C@@H]1Cc1ccccc1)c1ccccc1,3400.0,intermediate
CHEMBL97927,O=C1C[C@H](Cc2ccccc2)N1C(=O)NCc1ccncc1,12000.0,inactive
CHEMBL318278,COc1ccc(CN(C)C(=O)N2C(=O)C[C@@H]2Cc2ccccc2)cc1,7400.0,intermediate
CHEMBL100212,O=C1C[C@H](Cc2ccccc2)N1C(=O)NCCc1ccccc1,24000.0,inactive
CHEMBL95260,CS[C@@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,6900.0,intermediate
CHEMBL32486,C[C@@H](NC(=O)N1C(=O)CC1Sc1ccccc1)c1ccccc1,1900.0,intermediate
CHEMBL95914,CCN(Cc1ccccc1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,42000.0,inactive
CHEMBL73238,O=C1C[C@H](Cc2ccccc2)N1C(=O)NCc1ccccc1,10000.0,inactive
CHEMBL100368,CN(Cc1ccccc1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,11000.0,inactive
CHEMBL318614,Cc1ccc(NC(=O)N2C(=O)C[C@@H]2Cc2ccccc2)cc1,5200.0,intermediate
CHEMBL329929,CON(Cc1ccccc1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,6200.0,intermediate
CHEMBL95542,CN(Cc1ccc(C(F)(F)F)cc1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,3600.0,intermediate
CHEMBL2111601,CC1(C)C(=O)N(C(=O)NCc2ccncc2)[C@@H]1Cc1ccccc1,300000.0,inactive
CHEMBL95813,C=CC[C@@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,75000.0,inactive
CHEMBL95969,CN(Cc1ccccc1[N+](=O)[O-])C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,11000.0,inactive
CHEMBL316999,CN(Cc1ccc(N)cc1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,20000.0,inactive
CHEMBL330647,C[C@@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,13000.0,inactive
CHEMBL419328,O=C1C[C@H](Cc2ccccc2)N1C(=O)N(Cc1ccccc1)C1CC1,75000.0,inactive
CHEMBL95678,CN(Cc1ccc(S(=O)(=O)C(F)(F)F)cc1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,4300.0,intermediate
CHEMBL318052,C[C@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,73000.0,inactive
CHEMBL319173,CC[C@@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,60000.0,inactive
CHEMBL431424,CC(=O)Nc1ccc(CN(C)C(=O)N2C(=O)C[C@@H]2Cc2ccccc2)cc1,17000.0,inactive
CHEMBL95515,CN(Cc1ccc([S+]([O-])C(F)(F)F)cc1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,8700.0,intermediate
CHEMBL319392,C[C@@H](NC(=O)N1C(=O)C[C@@H]1Cc1ccccc1)c1ccccc1,4000.0,intermediate
CHEMBL98395,Cc1ccc(CN(C)C(=O)N2C(=O)C[C@@H]2Cc2ccccc2)cc1,8900.0,intermediate
CHEMBL422823,Cc1csc2nc([C@H](C)NC(=O)/C=C(\Sc3ccccc3)c3ccccc3)oc(=O)c12,140.0,active
CHEMBL99409,CN(Cc1cccc([N+](=O)[O-])c1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,6900.0,intermediate
CHEMBL318126,O=C1C[C@H](Cc2ccccc2)N1C(=O)Nc1ccc(F)cc1,3700.0,intermediate
CHEMBL316458,O=C1C[C@H](Cc2ccccc2)N1C(=O)N(Cc1ccccc1)OCc1ccccc1,13000.0,inactive
CHEMBL95941,CC(C)c1ccc(CN(C)C(=O)N2C(=O)C[C@@H]2Cc2ccccc2)cc1,6400.0,intermediate
